Word,Valence,Arousal,Dominance,Frequency
afloat,5.57,4.13,4.96,85
aforementioned,5.21,3.5,4.96,24
afraid,2.25,5.12,2.71,12631
afterlife,5.53,4.32,5.86,81
aftermath,4.29,5.38,4.23,53
afternoon,6.68,3.48,5.71,4666
aftershave,5.55,3.5,5.81,55
age,5.78,3.71,4.67,4039
agency,5.14,3.17,4.89,991
agenda,5.05,3.62,5.36,373
agent,5.23,3.43,5.65,5235
aggravate,2.55,5.9,4.85,37
aggravation,2.48,5.35,4.45,59
aggression,3.18,5.69,4.65,143
aggressive,3.08,5.87,5.49,405
aggressiveness,3.58,6.43,5.21,20
aggressor,2.8,6.55,4.57,29
agile,5.95,4.95,6.09,20
agility,6.55,4.21,6.41,23
aging,3,3.8,3.06,131
agitate,3.36,5.82,4.55,22
agitation,2.84,4.75,3.29,25
aglow,5.84,4.83,5.59,24
agonizing,2.68,6.71,4.04,36
agony,2.46,5.78,4,191
agree,7.17,3.62,6.94,3298
agreeable,6.9,3.55,6.97,81
agreement,6.75,4.05,6.48,892
agricultural,5.5,3.55,5.74,48
agriculture,6.1,3.05,6,56
ahoy,5.58,3.95,5.45,189
aid,6.29,4.55,5.95,709
aide,5.6,4,7.05,103
aids,3.52,3.75,4.88,54
ailing,2.95,4.52,4.15,26
ailment,3,3.68,3.14,26
aim,5.95,4,6.5,758
air,6.71,3.25,5.72,7090
airbag,5.4,3.64,4.81,20
airborne,5.25,3.52,4.48,215
aircraft,6.3,4.86,5.71,482
aircraft carrier,5.25,4.64,5.85,0
airfield,5.74,4.38,4.82,118
airhead,4.1,4.3,4.19,27
airline,5.36,4.12,4.92,331
airliner,6.05,4,4.25,29
airplane,5.25,5.62,4.12,557
airport,6,5.5,5.79,1940
airship,5.63,4.88,4.43,30
airspace,5.5,4.4,4.91,82
airspeed,4.95,4.33,5.24,24
airstrip,4.76,3.83,5.1,57
airtight,5.1,3.3,4.76,57
airway,4.95,4,3.95,83
aisle,5.17,2.5,4.87,379
ajar,5,3.26,5.28,23
alabaster,5.5,3.95,5.35,34
alarm,3.86,6.85,6.58,1522
alarm clock,3.47,5.36,4.82,0
alarming,3.52,6.5,4.05,58
albatross,5.68,3.09,4.91,40
albino,4.9,3.09,4.05,59
album,6.19,5.63,5.86,522
alcohol,4.11,5.17,4,845
alcoholic,2.49,5.48,3.27,316
alcoholism,2,5,3,43
alcove,5.5,3.32,5.33,24
ale,5.95,4.1,5.17,202
alert,5.38,5.14,6.58,1051
alfalfa,4.79,3.67,5.73,33
algebra,5.4,4.6,4.54,90
algorithm,5.3,3.7,4.04,27
alias,5,4.71,5.94,208
alibi,4.16,4.5,5.17,426
alien,4.45,4.86,3.56,889
alienate,2.79,4.27,3.71,29
alienation,2.53,5.14,3.33,22
alight,5.67,3.86,5.88,21
align,5.95,3.32,5.95,34
alignment,6,3.92,6.32,67
alimony,3.86,3.09,4.32,132
alive,6.57,5.93,6.77,7878
allegation,3.26,5.9,3.96,27
alleged,3.62,5.09,4.27,203
allegiance,5.8,5.17,7.05,159
allergic,3,5.4,3.81,413
allergy,2.9,3.9,3.5,86
alleviate,6.25,3.45,5.84,23
alley,4.17,4.08,4.63,831
alleyway,3.46,3.7,5.2,40
alliance,6.14,4.4,5.78,465
allied,5.95,3.38,5.4,147
alligator,4.23,5.36,4.1,178
allow,6.39,2.95,6.11,2263
allowance,6.74,4.05,5.7,265
alloy,5.2,3.32,5.9,52
allure,6.9,4.25,5.77,30
alluring,6.74,4.35,5.86,21
ally,6.05,4.8,6.84,1666
almanac,5.55,3.24,5.88,43
almighty,6.15,4.59,5.81,446
almond,6.05,2.89,6.46,56
aloha,7.1,3.82,6.33,149
alone,3.85,4,4.5,15735
aloof,4.59,3.09,4.63,33
alpha,5.5,3.67,6.32,414
alphabet,5.95,3.15,5.79,127
alphabetical,6.32,3,6.14,44
alpine,5.84,3.52,5.74,65
altar,5.59,4.05,5.68,259
altar boy,4.76,3.11,4.62,0
alter,4.57,4.17,5.57,244
alteration,5.05,4.05,6.15,36
altercation,3.61,5.62,4.4,37
alternate,5.15,3.48,5.2,180
alternating,5.37,4.27,5.53,21
alternative,5.33,3.61,6.33,476
altitude,5.27,4.15,5.46,198
aluminum,5.1,4.05,6,115
amaretto,6,4.04,5.19,22
amateur,4.58,3.55,5.25,334
amaze,7.24,5,5.83,82
amazed,7.55,5.95,6.11,261
amazement,7.29,6.3,6.43,36
amazing,7.72,6.05,6.83,4167
ambassador,5.5,3.91,6.2,689
amber,6.15,3.36,6.21,473
ambience,6.35,3.85,5.57,37
ambient,6.33,3.2,4.86,26
ambiguous,5.16,4,5.12,37
ambition,7.28,4.86,6.36,273
ambitious,6.33,5.76,5.88,243
ambulance,3.71,5.33,3.29,1143
ambush,3.17,5.58,3.96,277
amend,5.85,3.06,4.96,38
amendment,5.6,3.5,4.77,209
amends,6.68,3.95,5.96,94
amiable,6.7,2.85,6.14,30
amino,4.45,3.83,5.73,31
ammo,4.18,5.53,5.52,274
ammonia,3.74,3,3.83,76
ammonium,4.06,4.37,4.84,26
ammunition,4.59,5.7,5.95,300
amnesia,3.43,5.04,3.08,189
amnesty,5.38,3.86,6,68
amount,5.42,3.53,5.39,1262
amp,5.79,5.05,5.13,93
amphibian,5.4,3.35,5.42,20
amphibious,5.75,5.7,4.85,30
ample,5.89,3.28,6.04,93
amputate,2.1,5.43,3,44
amputation,1.84,4.86,2.85,43
amuck,4,4.41,3.74,26
amulet,5.75,3.95,5.79,118
amuse,7.1,5.17,6.8,133
amused,7.05,4.27,5.93,128
amusement,7,4.82,6.59,191
amusing,7.6,5.18,6.79,469
anaconda,4.43,6,4.08,24
anagram,4.37,3.86,4.83,26
anal,4,4.29,4.45,138
analogy,5.24,3.95,5.33,58
analysis,5.25,3.74,5.95,563
analyst,5,3.24,4.76,177
analytical,6,4.13,6.43,30
analyze,5.65,4.1,5.96,165
analyzer,4.62,3.48,5.88,26
anaphylactic,4,5.57,4.17,27
anarchist,2.76,4.16,4.57,29
anarchy,3.68,4.86,3.1,103
anatomy,6.29,4.43,5.95,163
ancestor,6.37,3.73,4.81,86
ancestral,6.6,3.6,5.05,29
ancestry,6.29,3.71,4.16,24
anchor,5.16,3.32,5.29,378
anchorage,5.09,3.82,5.8,36
ancient,7.24,3.48,4.86,1105
android,5.62,3.5,5.75,45
anecdote,5.62,4.65,6,55
anemia,3.05,4.09,3.55,35
anemic,3.45,3.45,3.14,32
anesthesia,4.84,3.64,2.95,101
anesthesiologist,4.95,3.56,3.68,27
anesthetic,5.48,3.23,4.72,68
aneurysm,2.5,5.38,2.7,101
angel,7.71,4.24,5.9,3992
angelic,6.68,4.27,6.32,29
anger,2.5,5.93,5.14,991
angle,4.55,3.22,5.27,761
angry,2.53,6.2,4.11,3008
angst,3.5,5.76,3.62,47
anguish,3.14,5.41,4.27,110
anguished,2.78,4.79,2.88,13
animal,7.06,4.3,5.72,2320
animated,6.65,5.77,6.71,61
animation,6.42,5.52,5.16,62
animosity,3.4,5.83,5.04,31
ankle,5.4,3.11,5.58,409
anklet,4.75,3.57,5.08,21
annex,4.41,4,5.26,43
annihilate,3.15,6.44,4.62,36
annihilation,2.58,5.52,3.2,41
anniversary,6.95,4,6.86,939
announce,5.52,3.65,5.48,498
announcement,5.81,4.3,5.05,525
announcer,5.84,4.5,4.07,574
annoy,2.49,5.04,4.64,128
annoyance,2.95,4.1,3.45,25
annoyed,2.8,5.29,4.08,175
annoying,3,5.55,3.28,567
annual,5.19,3.7,4.9,367
annul,3.83,4.23,4.9,26
annulment,4.05,4.14,4.15,76
anointed,4.79,3.32,5.18,38
anomaly,4.84,4.25,4.26,63
anonymity,4.81,3.29,5.88,46
anonymous,5.75,4.13,5.48,429
anorexic,2.71,4.24,3.43,29
answer,6.1,4,5.95,8986
ant,3.9,3.27,5.3,273
antagonistic,4.32,4.11,4.41,22
antagonize,3.15,4.95,4,27
antelope,5.68,4.46,5.57,50
antenna,5.43,3.15,5.67,122
anterior,4.89,3.36,4.64,48
anthem,5.95,4.48,6.29,96
anthill,4.32,4.63,4.76,29
anthrax,2.32,4.72,2.71,66
anthropological,5.53,3.82,5.14,26
anthropologist,5.7,3.27,5.19,53
anthropology,5.3,2.91,6,67
anti,4.47,4.23,5.05,26
antiaircraft,4.85,4.6,4.73,25
antibiotic,5.88,4.05,5.72,33
antibiotics,5.05,4.05,5.11,187
antichrist,2.36,5.58,4.39,49
anticipate,6,5.7,5.36,129
anticipation,5.26,5.39,5.53,127
antics,3.95,5.1,5.24,50
antidote,6.55,3.24,6.08,221
antigravity,5.74,5.1,3.77,28
antiquated,5,4.95,4.69,28
antique,6.5,4,5.79,309
antiques,6.63,3.68,5.17,137
antiseptic,4.57,3.15,4.77,44
antisocial,3.21,5.32,5.33,41
antsy,4.36,5.23,3.85,32
anus,2.9,4.39,4.96,56
anvil,5.05,4.4,5.38,32
anxiety,2.38,4.78,3.39,345
anxious,3.8,6.2,4.15,719
anytime,5.81,4.6,5.32,1248
aorta,4.35,3.64,4.37,78
apache,5.2,3.7,4.95,251
apartment,5.72,3.8,5.33,4235
apartments,5,3.28,5.18,215
apathy,3.68,3.8,5.15,24
ape,5.21,4.25,5.38,493
apex,5.52,3.48,5.17,43
aphrodisiac,6.43,5.96,5.04,82
apocalypse,3.24,5.04,2.65,126
apologetic,6.65,4,5,22
apologize,4.94,3.52,4.22,2518
apology,6.24,4,5.1,804
apostle,5.5,4.38,4.71,71
apothecary,5.48,4.23,5.35,20
appalled,3.62,4.91,4.11,59
appalling,2.95,5.5,4.55,99
apparatus,5.5,4,5.14,77
apparel,5.38,4.3,6.19,35
apparent,4.96,3.19,6.4,215
apparition,4.85,4.82,4.38,39
appeal,6.3,3.57,5.36,663
appear,5.25,3.24,5.36,1192
appearance,6.14,4.57,5.9,591
appease,5.95,3.55,5.59,25
appendage,4.23,4.35,5.32,21
appendectomy,2.95,6.14,3.59,33
appendicitis,1.86,5.12,2.71,48
appendix,4.81,2.92,4.25,133
appetite,6.23,5.37,5.57,456
appetizer,7.29,4.52,6.36,61
appetizing,7,4.82,6.18,32
applaud,6.7,5.05,5.91,109
applause,7.12,5.38,6.56,576
apple,6.62,3.52,6.44,1207
apple juice,7.3,3.2,6,0
applesauce,6.9,2.78,6.39,30
appliance,5.15,2.84,5,41
applicant,4.91,3.96,5.08,31
application,5.05,4.52,4.3,510
apply,5.16,3.24,6.2,638
appoint,5.95,4.25,5.65,104
appointment,4.43,4.8,6.68,1559
appraisal,5.09,4.09,5.65,39
appreciate,7.33,3.1,7,4373
appreciation,7.3,4.68,6.63,261
appreciative,7.14,4.35,6.9,41
apprehend,4.14,5.13,4.48,73
apprehension,4.15,4.23,5.07,39
apprehensive,3.32,4.77,4.64,28
apprentice,5.95,3.59,5.05,99
approach,5.45,4.48,6.03,1070
appropriate,6.1,4.04,5,657
approval,6.75,3.52,6.63,428
approve,7,4.09,7.26,580
approximate,5.26,3.82,4.95,64
apricot,5.95,4.29,5.94,32
apron,5.8,2.9,5.28,136
apt,5.64,4.05,5.95,89
aptitude,5.95,4.55,5.45,55
aqua,6.5,3.6,4.82,70
aquamarine,6.4,3.9,4.95,23
aquarium,6.43,4.3,6.14,141
aquatic,6.8,3.58,4.53,28
arbitrary,4.15,4.55,4.77,52
arbitration,4.09,4.41,4.19,23
arcade,6.45,6.1,6.81,111
arch,5.8,3.15,5.45,188
archaeological,6.05,4.52,5.18,48
archaeologist,5.42,4.14,5.17,57
archaeology,6.1,3.86,5.26,39
archaic,4.5,4.38,4.62,35
archangel,7.27,4.19,4.79,22
archbishop,4.71,3.78,4.73,188
archduke,4.15,3.56,5.73,46
archery,5.25,4.39,5.73,40
architect,6.21,3.25,6.05,334
architectural,6.32,4.05,5.18,65
architecture,6.05,4.39,5.67,162
archive,4.81,4.18,5.24,67
arctic,4.45,3.88,5,100
ardent,4.95,4.62,5.32,30
area,5.56,2.19,5.06,3821
arena,5.75,4.23,6.04,185
argue,3.15,6.67,4.77,1007
argument,2.62,5.22,5.65,867
argumentative,3.2,5.61,4,38
arise,6.17,4.76,5.87,151
aristocracy,5.21,4.15,5.08,32
aristocrat,4.28,3.6,4.94,69
aristocratic,5.79,3.18,4.43,37
arithmetic,4.95,4,5.54,78
ark,6.15,3.52,5.88,199
arm,5.44,3.44,6.02,3336
armada,4.6,3.29,5.6,55
armchair,5.67,2.75,5.79,21
armed,4.11,6.3,5.68,1164
armor,6.1,3.29,6.3,372
armored,5.67,3.52,5.7,166
armory,5.25,4.48,5.74,95
armpit,4.1,3.57,5.24,64
army,4.65,4.49,4.65,4370
aroma,7.65,4.35,6.06,69
arouse,6.67,6.21,6.1,62
arraignment,3.91,4.6,5.33,71
arrange,5.15,3.57,6.71,791
arrangement,5.71,3,5.5,482
array,5.9,3.71,5.62,108
arrest,2.33,6.86,3.11,3037
arrhythmia,3.86,4.95,4.25,24
arrival,6.67,3.6,6.53,422
arrive,6.41,5,6.84,953
arrogance,2.55,4.65,5,144
arrogant,2.52,5.15,4.64,266
arrow,5.24,3.91,5.53,400
arsenal,4.45,5.48,5.25,102
arsenic,3,4.7,3.46,63
arson,2.26,5.41,3.78,153
arsonist,2.5,6.95,3.42,52
art,6.85,4.48,6.02,3611
artery,4.29,4.09,4.78,271
arthritis,2.32,4.27,2.63,99
artichoke,5.3,3.5,5.48,28
article,5.68,3.5,5.68,998
articulate,6.55,4.27,6.89,85
artifact,6.2,4.95,5.73,56
artificial,3.86,4.17,4.55,246
artillery,4.1,4.56,4.64,280
artist,6.76,4.1,6.95,1460
artistic,7,5,6.86,251
artistry,6.91,4.71,7.43,24
artwork,6.76,4.18,6.33,78
asbestos,2.24,4.38,3.05,66
ascend,6.19,4.13,5.58,47
ascendant,5.29,3.23,5.78,34
ascending,5.14,3.73,5.55,35
ascension,5.77,5.36,5.45,44
ascertain,5.3,3.17,6.29,49
ashamed,2.52,5.65,4.63,1396
ashtray,3.52,3.48,5.56,166
asinine,5.05,4.63,4.81,49
ask,5.95,3.48,6.29,24640
asleep,6.5,2,4.33,2541
asparagus,5.43,2.73,5.67,50
aspect,4.89,3.39,4.76,197
aspen,6.57,4.11,5.5,96
asphalt,4.46,3.2,4.62,49
asphyxia,2.19,6.14,2.4,21
asphyxiation,1.53,6.91,2.54,36
aspiration,6.26,5,5.94,29
aspire,6.43,3.68,6.85,55
aspirin,5.3,3.35,5.12,395
aspiring,6.89,4.41,6.85,32
ass,5.45,5.43,3.61,11545
assailant,3.24,5.7,3,75
assassin,2.11,5.82,3.36,302
assassinate,3.27,6.38,3.23,96
assassination,1.83,6.2,4,281
assault,2.05,6.8,3.49,896
assemble,5.14,3.52,6.28,163
assembly,5.47,3.95,4.82,245
assemblyman,5,3.12,5.21,37
assert,5.68,4.64,5.93,43
assertive,5.37,5.55,6.04,23
assess,5.84,3.45,5.21,83
assessment,5.22,2.75,5.44,158
asset,7.25,4.43,6,193
asshole,2.11,6.38,2.89,3142
assign,4.75,3.71,5.74,138
assignment,5.39,4.45,6,912
assimilate,4.63,4.15,5.15,26
assist,5.95,3.76,6.41,400
assistance,5.82,3.82,6.45,558
assistant,5.91,4.8,6.37,1643
associate,5.2,3.11,4.88,458
association,5.5,3.67,6.14,414
assorted,5.82,3.52,5.41,49
assortment,5.64,3.88,5.79,37
assume,4.41,4.2,6.21,1707
assumption,4.3,4.14,5.03,170
assurance,5.95,2.81,6.07,104
assure,6.33,3.1,6.52,1021
asterisk,5.38,2.78,5.72,23
asteroid,4.95,5.6,3.68,86
asthma,2.45,4.5,3.54,197
asthmatic,3.33,3.38,3.84,20
astonish,5.55,5.38,6,23
astonished,6.42,5.73,4.87,48
astonishing,6.53,5.77,5.23,87
astound,6.3,5.05,5.56,22
astral,5.32,5.13,5.26,49
astrology,4.79,4.18,4.67,47
astronaut,6.73,4.4,5.32,202
astronomer,5.59,5.42,5.33,36
astronomical,6.37,5,5.14,37
astronomy,6,4.33,5.21,67
astute,6.22,3.16,6,51
asylum,3.24,5.55,3.52,234
atheist,4.64,4.76,5.41,55
athlete,6.21,4.75,5.96,235
athletic,6.76,5,6.11,197
athletics,6.14,4.93,6.15,32
atlas,5.95,2.5,5.7,52
atmosphere,6.05,4,4.86,493
atmospheric,5.72,4.09,5.11,47
atom,5.74,4.29,5.39,140
atomic,4.26,5.85,3.96,249
atone,5.6,4,5.65,43
atrium,5.95,3.57,5.22,36
atrocious,3.14,4.12,4.35,35
atrocity,2.95,5,2.96,32
atrophy,3.16,3.86,4,21
attach,5.26,3.81,4.7,126
attachment,6,2.96,6.32,59
attack,2,7.05,3.39,3853
attacker,2.23,7.27,4.26,73
attain,5.85,3.11,7.08,47
attempt,6,4.94,5.67,975
attempted,5.35,3.64,6.52,392
attend,5.4,3.5,6.7,715
attendance,5.95,4.24,5.59,135
attendant,5.63,3.14,5.09,158
attention,6.68,4.05,6.47,5032
attentive,6.43,4.37,6.62,66
attest,5.1,3.68,6.26,22
attic,4.95,3.45,5.36,400
attire,6.16,3.95,5.78,76
attitude,4.72,4.76,5.88,1330
attorney,3.67,4.8,5.53,2060
attract,6.38,5.35,5.6,290
attraction,7,5.4,4.62,348
attractive,7.19,4.91,6.81,1256
attribute,5.67,4.12,6,45
auburn,5.89,3.62,5.61,29
auction,5.43,4.5,5.33,454
auctioneer,5.09,4,5.37,24
audacious,5.11,4.28,5.41,26
audacity,5.2,4.1,5.33,48
audible,6.05,4.45,6.26,36
audience,5.89,4.91,5.14,1294
audio,6.56,4.29,5.96,284
audit,2.82,5.78,3.68,57
audition,5.2,4.24,6,705
auditor,3.26,3.7,5.2,24
auditorium,6.05,4.45,5.05,80
auditory,5.05,4.5,6.11,27
aunt,6.56,2.71,4.28,2815
auntie,6.24,3.58,5.79,401
aura,6.45,4.7,5.65,93
auspicious,4.76,3.39,5.5,26
authentic,6.91,4.55,6.58,230
authenticate,5.1,4.36,5.78,31
authenticity,6.81,4.42,6.23,59
author,6.33,2.73,6.38,405
authority,4.76,5.35,5.19,1082
authorization,5.86,4.32,4.77,184
authorize,5.37,4.67,6.54,105
autism,3.2,4.1,3.12,36
autistic,3.62,4.24,2.43,58
auto,5,4.95,5.7,391
autobiographical,4.82,3.74,5.89,22
autobiography,5.79,2.85,6.5,41
autograph,6.21,3.55,6.1,416
autographed,6.14,4.65,6.42,60
automated,4.74,4.05,4.5,73
automatic,6.05,3.7,5.27,356
automobile,5.45,3.91,6,291
automotive,5.37,4.5,5.38,33
autonomy,5.05,4.09,6.19,27
autopilot,5.65,4.11,3.72,51
autopsy,2.62,4.36,3.22,489
autumn,7.12,3.21,5.17,193
auxiliary,5.26,3.61,5.81,109
avail,5.42,3.77,6,43
availability,5.68,4.38,5.5,30
available,6.86,4.04,6.59,1323
avalanche,4,6.55,3.24,173
avenge,4.05,6.35,5.92,154
avenging,4.89,6.1,6.55,23
avenue,5.74,3.3,5.18,861
average,4.89,3.29,5.59,849
aversion,4,5.14,4.81,68
avert,5.16,3.62,5.22,30
aviation,5.9,4.05,5.62,73
aviator,6.39,4.67,6.13,28
avid,5.74,4.32,5.71,25
avocado,6.32,4.05,5.22,62
avoid,4.1,3.92,4.81,1239
avoidance,3.35,4.95,4.88,26
await,5.33,2.91,4.71,181
awake,6.76,5.5,6.68,1362
awaken,6.05,4.29,6.09,125
awakening,6.41,4.67,6.54,63
award,7.86,5.85,6.9,657
aware,6.86,4.7,7.05,1818
awareness,6.45,3.73,7.22,115
awe,6.85,3.83,5.85,134
awed,6.05,4.21,6,6
awesome,7.86,6.05,7.11,1600
awful,2.28,4.86,3.06,3234
awkward,2.95,4.55,4.25,730
awkwardness,3.86,4.65,4.13,32
awning,5.79,2.9,5.29,24
axe,3.48,5.64,5.55,249
axis,4.19,3.92,5.59,81
axle,4.67,2.45,5.3,63
babble,4.55,4,4.74,44
babe,6.86,4.25,6.79,1814
baboon,5.55,5.11,4.96,87
baby,6.67,4.97,4.94,25978
babysit,4.74,3.67,5.74,104
babysitter,6.55,3.48,5.68,236
bachelor,5.58,4.14,5.13,504
bachelorette,5.52,4.09,4.89,82
back,4.76,2.59,5.22,102467
backboard,4.7,3.41,5.47,24
backbone,5.16,4.05,6.4,84
backdoor,4.86,3.85,5.43,30
backdrop,5.45,2.7,5.27,24
backer,4.73,3.53,5.62,54
backfire,3,4.79,3.5,44
backgammon,5.6,2.06,4.83,37
background,5.05,3.67,5.57,899
